ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
425;DOÑA CARMEN SOLAR;ENERGÍA CERRO EL MORADO;ENERGIA CERRO EL MORADO;La Ligua;Solares;CE01G271;;Operativa;no aplica;no aplica;12;S/E DOÑA CARMEN 220KV;34,617;0,216656556;34,542;0;10-05-17;no aplica;no aplica;CUMPLIMIENTO DEL DIAGRAMA PQ;;;no aplica;SOLAR;VALPARAÍSO;PETORCA;LA LIGUA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;288375,9998;6404151,016;19H;ESTUDIO DE ARRANQUE Y DETENCION VFINAL;No;;;;;67000000;Energia Cerro el Morado S.A.; 20 de Junio de 2014;12 de mayo de 2015;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2129575958;
347;VENTANAS 2;AES GENER;AES GENER;Puchuncaví;Termoeléctricas;CE10G010;;Operativa;no aplica;no aplica;1;S/E CENTRAL NUEVA VENTANAS 220 kV;207,991;6,986840777;193,459;100;01/01/1977 12:00:00 A.M.;TÉRMICA;no aplica;;;;no aplica;CARBON;VALPARAÍSO;VALPARAÍSO;PUCHUNCAVÍ;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;267340,0184;6373592,992;19H;;;;;;;;;;;;
269;SOLAR DIEGO DE ALMAGRO;ALMEYDA SOLAR;ENEL GREEN POWER;Diego de Almagro;Solares;CE01G138;;Operativa;no aplica;no aplica;1;S/E CENTRAL EMELDA 110KV;32,01;0,3;31,91397;0,4;"11/12/2014 12:00:00 A.M. ETAPA I; 16/06/2016 ETAPA II";ERNC;no aplica;;;;no aplica;SOLAR;ATACAMA;CHAÑARAL;DIEGO DE ALMAGRO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;398306;7081876,012;19J;;Si;policristalinas;1,944;" ASTRONERGY Crystalline PV Module
CHSM6612P Series (280 wP)";;130000000;EMELDA S.A.;18 de Diciembre de 2012;30 de mayo de 2013;http://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=7657424;
403;LA HUAYCA II;SPS LA HUAYCA;SPS LA HUAYCA;Pozo Almonte;Solares;CE01G225;;En Pruebas;no aplica;no aplica;1;S/E LA HUAYCA II 66KV;25,05;0,239520958;24,99;;;;;;;;no aplica;SOLAR;TARAPACÁ;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;444294,84;7738386,01;;;;;;;;;;;;;
350;HUAJACHE;HUAJACHE;HUAJACHE;Lebu;Eólicas;CE01G189;PMGD;Operativa;no aplica;no aplica;2;S/E TRES PINOS 23 KV;6;0,222222222;5,986666667;;25-11-2015;ERNC;Frontel;;;;PMGD;EÓLICA;BÍO BÍO;ARAUCO;LEBU;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;625598;5821819,014;18H;;;;;;;;;;;;
351;PANGUIPULLI;LATINOAMERICANA;LATINOAMERICANA;Panguipulli;Hidroeléctricas;CE01G190;PMGD EN PRUEBAS;En Pruebas;no aplica;no aplica;1;S/E PANGUIPULLI 23 KV;0,35;0;0,35;0;PENDIENTE;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;VALDIVIA;PANGUIPULLI;1;PANGUIPULLI;no aplica;no aplica;no aplica;no aplica;no aplica;753261,9603;5586644,011;18H;;;;;;;;;;;;
352;HIDROELECTRICA RIO MULCHEN;CENTRAL HIDROELÉCTRICA RIO MULCHÉN;HIDROELECTRICA RIO MULCHEN;Mulchén;Hidroeléctricas;CE01G191;PMGD;Operativa;no aplica;no aplica;1;S/E PICOLTUE 23 KV;3;0;3;0;11/12/2015 12:00:00 A.M.;ERNC;SAESA;;;;PMGD;Mini Hidráulica de Pasada;BÍO BÍO;BÍO BÍO;MULCHÉN;1;MULCHEN;no aplica;no aplica;no aplica;no aplica;no aplica;750049,9623;5806850,016;18H;;;;;;;;;;;;
374;ANDES SOLAR;AES GENER SING;AES GENER SING;Antofagasta;Solares;CE01G212;;OPERATIVA;no aplica;no aplica;1;S/E ANDES SOLAR;21,795;1,69783;21,425;;28-05-2016;;;;;;;SOLAR;ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;542260,14;7344264,59;19J;;Si;;;Moser Baer Solar modelo MBFT FS 400;;572000000;AES GENER S.A; 6 de Febrero de 2012;3 de julio de 2012;http://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=6581267;
344;LALACKAMA 2;ELECTRICA PANGUIPULLI;E.E. PANGUIPULLI;Taltal;Solares;CE06G006;;Operativa;no aplica;no aplica;no aplica;TAP TALTAL 220KV;16,5;0,3;16,4505;;31-08-2015;ERNC;no aplica;;;;no aplica;Solar;ANTOFAGASTA;ANTOFAGASTA;TALTAL;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;367480;7222585,012;19J;;;;;;;;;;;;
402;POZO ALMONTE SOLAR 3;POZO ALMONTE SOLAR 3;POZO ALMONTE SOLAR 3;Pozo Almonte;Solares;CE01G224;;Operativa;no aplica;no aplica;1;S/E POZO ALMONTE 110KV;16,038;0,249407657;15,998;;07-06-2014;;;;;;no aplica;SOLAR;TARAPACÁ;DEL TAMARUGAL;POZO ALMONTE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;422096,158;7760606,209;19K;;;;;;;71000000;Pozo Almonte Solar 3 S.A.; 16 de Diciembre de 2010;4 de julio de 2011;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=5164638;
442;EL ROBLE;CHESTER SOLAR IV;CHESTER SOLAR IV SPA;San Pedro;Solares;CE01G256;PMGD EN PRUEBAS;En Pruebas;no aplica;no aplica;4;ALIMENTADOR LOYCA 23KV;9;1,333333333;8,88;0;PENDIENTE;ERNC;CGE DISTRIBUCION;;;;PMGD;SOLAR;METROPOLITANA DE SANTIAGO;MELIPILLA;SAN PEDRO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;367831;7221038,012;19J;;Si;policristalinas;1,938;JAP6 72/300-320/3BB;;15000000;CHESTER SOLAR IV SpA; 16 de Noviembre de 2015;20 de diciembre de 2016;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2130922997;
457;LA ESPERANZA II;GR ARAUCARIA SPA;GR ARAUCARIA;Marchihue;Solares;CE01G262;;Operativa;no aplica;no aplica;1;ALIMENTADOR CALLEUQUE 13.2KV;9;0,111111111;8,99;0;PENDIENTE;ERNC;CGED SA;;;;PMGD;SOLAR;LIBERTADOR GENERAL BERNARDO OHIGGINS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;367831;7221038,012;19J;;Si;policristalinas;1,94;JINKO SOLAR JKM310P-72;;18000000;GR Araucaria SpA; 11 de Agosto de 2015; 15 de febrero de 2016;http://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2130697639;
358;EL MOLLE;ENORCHILE;ENOR CHILE;Valparaíso;Termoeléctricas;CE04G034;PMGD;Operativa;no aplica;no aplica;6;S/E VALPARAISO 12 KV;4,63;3,779697624;4,455;0;18-12-2015;ERNC;CHILQUINTA;;;;PMGD;Biogas;VALPARAÍSO;VALPARAÍSO;VALPARAÍSO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;253627,0201;6335865,06;19H;;;;;;;;;;;;
462;MARCHIGUE II;GR Canelo SpA;GRENERGY ENERGIAS RENOVABLES;Marchihue;Solares;CE01G105;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR PEÑA BLANCA 23 KV;9;;;;31-03-17;SOLAR ERNC;CGED;no aplica;;;PMGD;PMGD;LIBERTADOR GENERAL BERNARDO OHIGGINS;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;315290,2;6236040,9;19;no aplica;Si;policristalinas;1,94;JINKO SOLAR JKM310P-72;;18000000;GR CANELO SpA;12 de Agosto de 2015; 15 de febrero de 2016;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2130702893;
360;PARQUE EÓLICO LA ESPERANZA;EÓLICA LA ESPERANZA;PARQUE EOLICO LA ESPERANZA;Negrete;Eólicas;CE01G200;;Operativa;no aplica;no aplica;5;S/E CENTRAL PE LA ESPERANZA 23KV;10,5;2,3;10,2585;;13-02-2017;ERNC;no aplica;;;;no aplica;EÓLICA;BÍO BÍO;BÍO BÍO;NEGRETE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;717419,023;5835410,022;18H;;;;;;;;;;;;
361;MOLINERA VILLARRICA;MOLINERA VILLARRICA;MOLINERA VILLARRICA LTDA;Villarrica;Hidroeléctricas;CE01G201;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR 23KV CORRENTOSO, S/E VLLARRICA;0,6;0,567332993;0,596596002;;03/03/2016 12:00:00 a.m.;no aplica;CGED;;;;PMGD;Mini Hidráulica de Pasada;ARAUCANÍA;CAUTÍN;VILLARRICA;1;VILLARRICA;no aplica;no aplica;no aplica;no aplica;no aplica;739098,9647;5646433,056;18H;;;;;;;;;;;;
480;CALAMA SOLAR I;CALAMA SOLAR I;CALAMA SOLAR I;No Clasificado;Solares;CE01G300;;Operativa;no aplica;no aplica;no aplica;CALAMA 23 KV - BP2;9;0;9;;29/03/2017 12:00:00 a.m.;;;;;;PMGD;SOLAR;ANTOFAGASTA;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;512958;7518400;18;;;;;;;40000000;CALAMA SOLAR 1 S.A.;31 de Agosto de 2009;12 de enero de 2010;http://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=4012348;
489;PMG ANTAY;GENPAC;GENERADORA DEL PACIFICO S.A.;Copiapó;Solares;CE02G052;;Operativa;no aplica;no aplica;1;MEDELLIN 220KV;9;0;9;0,65;03-11-2017;no aplica;no aplica;PQ CURVE;;;PMG;FOTOVOLTAICA;ATACAMA;COPIAPÓ;COPIAPÓ;1;COPIAPO;no aplica;no aplica;no aplica;no aplica;no aplica;400781,8;7013171,6;19;5 Y 2 MIN RESPECTIVAMENTE;No;policristalinas;;JINKO SOLAR JKM245P;;38900000; Generadora del Pacífico SpA;15 de Noviembre de 2012;2 de mayo de 2013;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=7539899;
365;EÓLICA SAN JUAN;SAN JUAN;SAN JUAN SPA;Freirina;Eólicas;CE01G204;;Operativa;no aplica;no aplica;56;S/E EÓLICA SAN JUAN 220KV;184,8;0,222222222;184,3893333;;16/03/17;PENDIENTE;no aplica;;;;no aplica;EÓLICA;ATACAMA;HUASCO;FREIRINA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;260338,0141;6803823,967;19J;;;;;;;;;;;;
366;EÓLICO SAN PEDRO II;RIO ALTO GENERACIÓN;RIO ALTO GENERACION;Dalcahue;Eólicas;CE01G199;EN PRUEBAS;En Pruebas;no aplica;no aplica;13;S/E CENTRAL SAN PEDRO DALCAHUE 110KV;65;0,01;64,9935;;;no aplica;no aplica;;;;no aplica;EÓLICA;DE LOS LAGOS;CHILOÉ;DALCAHUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;589535,0015;5318425,969;18G;;;;;;;;;;;;
491;PUERTO SECO SOLAR;PUERTO SECO SOLAR;PUERTO SECO SOLAR;No Clasificado;Solares;CE01G305;PMG;Operativa;no aplica;no aplica;1;BARRA N°4 - 23 KV S/E CALAMA;9;;;;01-09-2017;;;;;;PMG;SOLAR;ANTOFAGASTA;;;1;CALAMA;;no aplica;;no aplica;no aplica;;;;;;;;;;;;;;;
369;RASO POWER;El RASO;ELECTRICA RASO POWER LTDA.;Constitución;Termoeléctricas;CE01G207;PMGD;Operativa;no aplica;no aplica;4;S/E CONSTITUCIÓN 23KV;5,8;0;5,8;0;01-04-2016 / 26-12-2017;CONVENCIONAL;CGE;;;;PMGD;DIESEL;MAULE;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;;;;;;;;;;;;;;;
370;CUMPEO;HIDROELECTRICA CUMPEO;ICAFAL INVERSIONES;Molina;Hidroeléctricas;CE01G209;PMGD;Operativa;no aplica;no aplica;1;S/E MOLINA 13.2 KV;5,76;0,173611111;5,75;;26/10/16;no aplica;CGED;;;;PMGD;Mini Hidráulica de Pasada;MAULE;CURICO;MOLINA;1;MOLINA;no aplica;no aplica;no aplica;no aplica;no aplica;302681,997;6097743,035;19H;;;;;;;;;;;;
371;EL CANELO 1;CENTRAL ELÉCTRICA EL CANELO;CENTRAL ELECTRICA EL CANELO;Puerto Varas;Termoeléctricas;CE01G210;PMGD;Operativa;no aplica;no aplica;2;S/E PUERTO VARAS 13.2KV;6,04;0;6,04;;21-12-2015;Convencional;CRELL;;;;PMGD;DIESEL;DE LOS LAGOS;LLANQUIHUE;PUERTO VARAS;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;667615,0229;5422646,979;18G;;;;;;;;;;;;
537;MOSTAZAL;GR LITRE  SpA;GRENERGY RENOVABLES PACIFIC;Mostazal;Solares;CE01G408;PMGD;Operativa;no aplica;no aplica;no aplica;SAN FRANCISCO DE MOSTAZAL;9;1,111111111;8,9;;26/05/2018;SOLAR;CGE;no aplica;;;PMGD;SOLAR;LIBERTADOR GENERAL BERNARDO OHIGGINS;CACHAPOAL;MOSTAZAL;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;345247;6238893;19H;no aplica;No;policristalinas;2,013;"RISEN 245W-260W POLYCRSTALLINE MODULE 60X6""";;18360000;Cidón Solar; 17 de Enero de 2016;7 de diciembre de 2016;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2131101261;
373;EL GALPÓN;SOLAR E SpA;SOLAR E SpA;Río Claro;Hidroeléctricas;CE04G439;PMGD EN PRUEBAS;En Pruebas;no aplica;no aplica;1;S/E MOLINA 66 KV;1,3;1,090909091;1,285818182;;pendiente;ERNC;CGED;;;;PMGD;Mini Hidráulica de Pasada;MAULE;TALCA;RIO CLARO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;298406,0166;6098385,071;19H;;;;;;;;;;;;
545;OVEJERÍA;COLBUN;COLBUN;Tiltil;Solares;CE23G004;PMGD;Operativa;no aplica;no aplica;1;S/E EL MANZANO;9;0,22;8,98;0;25/05/2018;no aplica;ENEL;no aplica;;;PMGD;SOLAR;METROPOLITANA DE SANTIAGO;CHACABUCO;TIL TIL;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;335172;6336617;19H;no aplica;Si;policristalinas;1,911;;;12000000;ORION POWER S.A.; 17 de Agosto de 2016; 4 de mayo de 2017;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2131714814;
375;TERMOELÉCTRICA NORGENER;AES GENER SING;AES GENER SING;Tocopilla;Termoeléctricas;CE02G212;;Operativa;no aplica;no aplica;2;S/E NORGENER 220KV;281,634;6,868843961;262,289;55;01-01-1995;;;;;;no aplica;TERMOELECTRICA;ANTOFAGASTA;TOCOPILLA;TOCOPILLA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;375133,889;7556095,338;19K;;;;;;;;;;;;
376;TERMOELÉCTRICA ANDINA;ANDINA;ANDINA;Mejillones;Termoeléctricas;CE01G230;;Operativa;no aplica;no aplica;1;S/E CHACAYA 220KV;177;9,152542373;160,8;70;15-07-2011;Térmica;no aplica;;Termoeléctrica;Convencional;no aplica;TERMOELECTRICA;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;355904,6594;7446095,274;19K;CTA-Informe-de-Parametros-Partida-Detención-V4;;;;;;;;;;;
377;TERMOELÉCTRICA ANGAMOS;ANGAMOS;ANGAMOS;Mejillones;Termoeléctricas;CE01G213;;Operativa;no aplica;no aplica;2;S/E ANGAMOS 220KV;558,2;10,14869223;501,55;80;11-04-2011;;;;;;no aplica;TERMOELECTRICA;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;359738,4123;7448524,703;19K;;;;;;;;;;;;
378;TERMOELÉCTRICA TARAPACÁ;GASATACAMA;GASATACAMA;Iquique;Termoeléctricas;CE04G219;;Operativa;no aplica;no aplica;2;S/E TARAPACÁ 220 KV;178,044;5,336883018;168,542;3;01-05-1976 / 01 - 07-1998;TÉRMICA;;;;;no aplica;TERMOELECTRICA;TARAPACÁ;IQUIQUE;IQUIQUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;375817;7698954,01;19K;Anexo - Informe_parám_unidad Tarapacá v1.doc;;;;;;;;;;;
379;Cochrane;COCHRANE;COCHRANE;Mejillones;Termoeléctricas;CE01G215;;Operativa;no aplica;no aplica;2;S/E COCHRANE 220KV;549,719;10,935769;489,603;108;09-07-2016;;;;;;no aplica;CARBON;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;360063,3462;7448864,72;19K;;;;;;;;;;;;
380;CHAPIQUIÑA;ENGIE;E-CL;Putre;Hidroeléctricas;CE01G216;;Operativa;no aplica;no aplica;1;S/E CENTRAL CHAPIQUIÑA 66KV;10,894;0,569120617;10,832;0,5;01-01-1967;Hidroeléctrica;no aplica;N/I;Hidroeléctrica;Convencional;no aplica;Hidraulica Pasada;ARICA Y PARINACOTA;PARINACOTA;PUTRE;1;PUTRE;PUTRE;Putre;no aplica;no aplica;no aplica;442028,004;7968474,01;19K;"Datos Técnicos  Central Termica Tocopilla; Central Termica Mejillones;Centrales Diesel e Hidroelectrica";;;;;;;;;;;
381;DIESEL ARICA;ENGIE;E-CL;Arica;Termoeléctricas;CE02G216;;Operativa;no aplica;no aplica;3;S/E CENTRAL DIESEL ARICA 66KV;13,60158;2,894737229;13,20785;0,999;01-01-1953;Térmica Diesel;no aplica;N/I;Termoeléctrica;Convencional;no aplica;DIESEL;ARICA Y PARINACOTA;ARICA;ARICA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;362453;7957634,009;19K;"Datos Técnicos  Central Termica Tocopilla; Central Termica Mejillones;Centrales Diesel e Hidroelectrica";;;;;;;;;;;
382;DIESEL IQUIQUE;ENGIE;E-CL;Iquique;Termoeléctricas;CE03G216;;Operativa;no aplica;no aplica;5;S/E CENTRAL DIESEL IQUIQUE 66KV;35,886;2,201415594;35,096;5,636;01-01-1957;;;;;;no aplica;DIESEL;TARAPACÁ;IQUIQUE;IQUIQUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;380468,5408;7765282,728;19K;"Datos Técnicos  Central Termica Tocopilla; Central Termica Mejillones;Centrales Diesel e Hidroelectrica";;;;;;;;;;;
383;DIESEL TAMAYA;ENGIE;E-CL;Tocopilla;Termoeléctricas;CE04G216;;Operativa;no aplica;no aplica;1;S/E CENTRAL DIESEL TAMAYA 110KV;103,68;3,5606;99,98836992;8;18-07-2009;;;;;;no aplica;DIESEL;ANTOFAGASTA;TOCOPILLA;TOCOPILLA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;387511,7509;7548671,997;19K;"DATOS TÉCNICOS  CENTRAL TERMICA TOCOPILLA; CENTRAL TERMICA MEJILLONES;CENTRALES DIESEL E HIDROELECTRICA";;;;;;;;;;;
576;OLIVILLO;SOLAR E SpA;SOLAR E SpA;Casablanca;Solares;CE02G439;PMGD;Operativa;no aplica;no aplica;1;S/E CASABLANCA;9;1,667;8,85;0;27-12-2018;no aplica;ENERGÍA CASABLANCA;no aplica;FOTOVOLTAICA;ERNC;PMGD;FOTOVOLTAICA;VALPARAISO;VALPARAISO;CASABLANCA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;277416,41;6313477,85;19 H;no aplica;Si;policristalinas;1,9384;JAP6 72/295-315/3BB;;12720000;ARBOL SPA;16 de Junio de 2016;20 de junio de 2016 ;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2131511488;
578;VALLE SOLAR ESTE 2;SINERGIA SOLAR SpA;SINERGIA SOLAR SpA;Copiapó;Solares;CE01G441;PMGD EN PRUEBAS;En Pruebas;no aplica;no aplica;1;S/E HERNAN FUENTES;9;0,0889;8,992;0;PENDIENTE;FOTOVOLTAICO;EMELAT;no aplica;FOTOVOLTAICA;ERNC;PMGD;FOTOVOLTAICA;ATACAMA;;COPIAPÓ;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;364,187;6974786;19 S;no aplica;Si;policristalinas;1,94;;;18000000;Sinergia Solar SpA;17 de Febrero de 2015; 20 de octubre de 2015;http://seia.sea.gob.cl/expediente/expedientesEvaluacion.php?modo=ficha&id_expediente=2130251341;
386;TERMOELÉCTRICA MEJILLONES;ENGIE;E-CL;Mejillones;Termoeléctricas;CE07G216;;Operativa;no aplica;no aplica;5;S/E CHACAYA 220KV;583,29;4,974902056;549,74;40;01-01-1995;Térmica;no aplica;Edelnor-Diagrama PQ Generador CTM3-TV / Edelnor-Diagrama PQ Generador CTM3-TG / Edelnor-Diagrama PQ Generador CTM2 / Edelnor-Diagrama PQ Generador CTM1 / CENTRAL_TERMOELECTRICA_ANDINA_S_A__Diagrama_PQ_CTA / INVERSIONES_HORNITOS_S_A__Diagrama_PQ_CTH;Termoeléctrica;Convencional;no aplica;TERMOELECTRICA;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;355313;7446001,011;19K;"DATOS TÉCNICOS  CENTRAL TERMICA TOCOPILLA; CENTRAL TERMICA MEJILLONES;CENTRALES DIESEL E HIDROELECTRICA";;;;;;;;;;;
387;TERMOELÉCTRICA TOCOPILLA;ENGIE;E-CL;Tocopilla;Termoeléctricas;CE08G216;;Operativa;no aplica;no aplica;12;S/E CENTRAL TOCOPILLA 220KV;881,147;4,094549491;845,068;3;01-01-1960;Térmica;no aplica;Electroandina-Diagrama PQ Generadores U14 y U15 / Electroandina-Diagrama PQ Generadores U12 y U13 / Electroandina-Diagrama PQ Generador U16 / Electroandina-Diagrama PQ Generadores turbinas TG1 y TG2;Termoeléctrica;Convencional;no aplica;TERMOELECTRICA;ANTOFAGASTA;TOCOPILLA;TOCOPILLA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;374883,6905;7555757,631;19K;"DATOS TÉCNICOS  CENTRAL TERMICA TOCOPILLA; CENTRAL TERMICA MEJILLONES;CENTRALES DIESEL E HIDROELECTRICA";;;;;;;;;;;
388;DIESEL ENAEX;ENAEX;ENAEX;Mejillones;Termoeléctricas;CE01L109;;Operativa;no aplica;no aplica;2;CENTRAL DIESEL ENAEX;3;0;3;0,653;01-01-1996;;;;;;PMG;DIESEL;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;353435,9953;7445113,752;19K;;;;;;;;;;;;
389;ZOFRI;ENORCHILE;ENOR CHILE;Iquique;Termoeléctricas;CE02G034;PMGD;Operativa;no aplica;no aplica;6;S/E PALAFITOS;5,83;0,857632933;5,78;0;14-09-2018;;CGE;no aplica;;;PMGD;TERMOELÉCTRICA;TARAPACÁ;IQUIQUE;IQUIQUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;381945;7765271,01;19K;no aplica;;;;;;;;;;;
390;ESTANDARTES;ENORCHILE;ENOR CHILE;Iquique;Termoeléctricas;CE03G034;PMGD;Operativa;no aplica;no aplica;7;S/E PALAFITOS;6,25;2,4;6,1;0;14-09-2018;;CGE;no aplica;;;PMGD;no aplica;TARAPACÁ;IQUIQUE;IQUIQUE;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;381911,7536;7765179,771;19K;no aplica;;;;;;;;;;;
391;DIESEL MANTOS BLANCOS;MINERA MANTOS BLANCOS;MINERA MANTOS BLANCOS;Antofagasta;Termoeléctricas;CE01L123;;Operativa;no aplica;no aplica;1;S/E MANTOS BLANCOS 23KV;24,561;0,07;24,285;;01-01-1995;;;;;;no aplica;DIESEL;ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;391672;7407484,011;19K;;;;;;;;;;;;
392;DIESEL INACAL;INACAL S.A.;INACAL S.A;Antofagasta;Termoeléctricas;CE02G077;;Operativa;no aplica;no aplica;4;S/E INACESA 23KV;6,202;4,821025476;5,903;0,85;16-09-2009;;;;;;no aplica;DIESEL;ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;365581,9152;7369324,722;19K;;;;;;;;;;;;
393;ATACAMA;GASATACAMA;GASATACAMA;Mejillones;Termoeléctricas;CE01G219;;Operativa;no aplica;no aplica;3;S/E ATACAMA 220 KV;780,6;0;780,6;25;15-09-1999;;;;;;no aplica;GAS NATURAL;ANTOFAGASTA;ANTOFAGASTA;MEJILLONES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;354842;7445724,011;19H;;;;;;;;;;;;
579;VALLE SOLAR OESTE 2;SOLAR BROTHERS SpA;SOLAR BROTHERS SpA;Copiapó;Solares;CE01G442;PMGD EN PRUEBAS;En Pruebas;no aplica;no aplica;1;S/E HERNAN FUENTES;9;0,0889;8,992;0;PENDIENTE;FOTOVOLTAICA;ELEMAT;no aplica;FOTOVOLTAICA;ERNC;PMGD;FOTOVOLTAICA;BIO BIO;;COPIAPO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;362,288;6976716;19 S;no aplica;Si;policristalinas;1,94;;;18000000;Solar Brothers SpA;17 de Febrero de 2015; 20 de octubre de 2015;http://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2130251359;
